"팔복동","7세",35,26,24
"팔복동","8세",52,29,28
"팔복동","9세",53,30,30
"팔복동","10세",50,28,32
"팔복동","11세",43,48,28
"팔복동","12세",33,48,49
"우아1동","합계",9687,12091,11750
"우아1동","7세",74,94,97
"우아1동","8세",71,106,87
"우아1동","9세",68,79,102
"우아1동","10세",84,107,83
"우아1동","11세",64,94,102
"우아1동","12세",68,89,89
"우아2동","합계",15098,14089,13959
"우아2동","7세",105,85,60
"우아2동","8세",95,89,88
"우아2동","9세",100,75,88
"우아2동","10세",104,95,68
"우아2동","11세",103,96,91
"우아2동","12세",122,108,88
"호성동","합계",20203,18479,18288
"호성동","7세",212,135,116
"호성동","8세",192,170,141
"호성동","9세",247,163,176
"호성동","10세",222,190,167
"호성동","11세",217,180,198
"호성동","12세",255,239,179
"송천1동","합계",60313,63864,63939
"송천1동","7세",963,965,845
"송천1동","8세",957,1055,963
"송천1동","9세",962,1013,1047
"송천1동","10세",950,1015,1002
"송천1동","11세",866,1019,998
"송천1동","12세",937,1041,1031
"송천2동","합계",26346,24615,26048
"송천2동","7세",242,182,183
"송천2동","8세",279,218,213
"송천2동","9세",299,241,232
"송천2동","10세",284,229,249
"송천2동","11세",283,257,255
"송천2동","12세",293,289,278
"조촌동","합계",12642,12272,12194
"조촌동","7세",76,77,72
"조촌동","8세",93,89,76
"조촌동","9세",99,84,87
"조촌동","10세",82,70,82
"조촌동","11세",63,97,75
"조촌동","12세",101,98,101
"진북동","합계",13954,12766,12053
"진북동","7세",66,44,60
"진북동","8세",73,51,40
"진북동","9세",91,70,52
"진북동","10세",90,64,67
"진북동","11세",84,62,57
"진북동","12세",94,90,58
"혁신동","합계",18597,36280,36365
"혁신동","7세",436,626,545
"혁신동","8세",438,685,624
"혁신동","9세",415,632,688
"혁신동","10세",437,694,657
"혁신동","11세",368,695,697
"혁신동","12세",424,644,704
"여의동","합계",30912,16206,15735
"여의동","7세",402,128,139
"여의동","8세",389,145,125
"여의동","9세",333,147,144
"여의동","10세",314,162,136
"여의동","11세",302,167,159
"여의동","12세",318,147,169
"옥구읍","합계",3132,2907,2895
"옥구읍","7세",9,14,7
"옥구읍","8세",8,10,15
"옥구읍","9세",15,10,10
"옥구읍","10세",8,7,10
"옥구읍","11세",12,7,6
"옥구읍","12세",6,16,7
"옥산면","합계",4445,4243,4253
"옥산면","7세",70,66,39
"옥산면","8세",55,56,63
"옥산면","9세",50,51,57
"옥산면","10세",45,66,53
"옥산면","11세",36,55,69
"옥산면","12세",40,42,55
"회현면","합계",3069,2893,2825
"회현면","7세",22,20,12
"회현면","8세",27,21,20
"회현면","9세",29,27,20
"회현면","10세",34,31,28
"회현면","11세",41,30,31
"회현면","12세",37,32,30
"임피면","합계",4214,3701,3798
"임피면","7세",9,6,7
"임피면","8세",7,14,X
"임피면","9세",15,8,12
"임피면","10세",9,8,9
"임피면","11세",10,8,6
"임피면","12세",10,9,5
"서수면","합계",2633,2480,2413
"서수면","7세",9,8,5
"서수면","8세",14,X,9
"서수면","9세",X,11,X
"서수면","10세",7,5,12
"서수면","11세",8,12,7
"서수면","12세",11,X,12
"대야면","합계",4539,4236,4116
"대야면","7세",24,19,9
"대야면","8세",21,15,18
"대야면","9세",24,13,15
"대야면","10세",27,23,15
"대야면","11세",22,17,23
"대야면","12세",19,21,20
"개정면","합계",2715,2609,2571
"개정면","7세",11,9,8
"개정면","8세",X,9,9
"개정면","9세",5,10,9
"개정면","10세",13,8,9
"개정면","11세",11,7,6
"개정면","12세",12,6,5
"성산면","합계",2951,2689,2590
"성산면","7세",14,9,X
"성산면","8세",17,X,9
"성산면","9세",16,8,X
"성산면","10세",13,12,8
"성산면","11세",10,15,12
"성산면","12세",12,15,15
"나포면","합계",2171,2002,1981
"나포면","7세",7,X,X
"나포면","8세",5,5,X
"나포면","9세",6,X,5
"나포면","10세",6,5,5
"나포면","11세",6,X,5
"나포면","12세",6,6,5
"옥도면","합계",3384,3218,3331
"옥도면","7세",13,6,6
"옥도면","8세",12,6,7
"옥도면","9세",7,10,X
"옥도면","10세",9,13,10
"옥도면","11세",7,9,11
"옥도면","12세",9,7,10
"옥서면","합계",2707,2440,2397
"옥서면","7세",12,10,7
"옥서면","8세",13,10,8
"옥서면","9세",22,X,8
"옥서면","10세",18,7,X
"옥서면","11세",9,10,7
"옥서면","12세",14,15,11
"해신동","합계",2273,2134,2056
"해신동","7세",16,11,11
"해신동","8세",11,5,8
"해신동","9세",15,13,X
"해신동","10세",16,17,13
"해신동","11세",9,11,15
"해신동","12세",9,11,9
"월명동","합계",5028,4490,4305
"월명동","7세",24,19,21
"월명동","8세",18,21,21
"월명동","9세",30,19,20
"월명동","10세",30,21,15
"월명동","11세",41,18,19
"월명동","12세",34,28,18
"신풍동","합계",7117,6442,6168
"신풍동","7세",54,47,18
"신풍동","8세",53,32,46
"신풍동","9세",49,53,31
"신풍동","10세",44,52,51
"신풍동","11세",33,54,49
"신풍동","12세",40,47,56
"삼학동","합계",5330,4984,4900
"삼학동","7세",22,8,10
"삼학동","8세",26,17,7
"삼학동","9세",33,18,19
"삼학동","10세",24,19,18
"삼학동","11세",21,24,15
"삼학동","12세",26,31,27
"중앙동","합계",4223,3990,3843
"중앙동","7세",21,20,20
"중앙동","8세",19,22,19
"중앙동","9세",21,20,19
"중앙동","10세",12,17,14
"중앙동","11세",17,18,17
"중앙동","12세",24,12,15
"흥남동","합계",12349,11460,11257
"흥남동","7세",111,91,79
"흥남동","8세",112,93,88
"흥남동","9세",100,89,91
"흥남동","10세",92,93,84
"흥남동","11세",93,94,93
"흥남동","12세",111,88,98
"조촌동","합계",23048,27410,27716
"조촌동","7세",249,395,405
"조촌동","8세",273,379,382
"조촌동","9세",222,352,391
"조촌동","10세",213,327,354
"조촌동","11세",212,333,341
"조촌동","12세",192,300,341
"경암동","합계",7698,7432,7396
"경암동","7세",41,37,29
"경암동","8세",49,46,37
"경암동","9세",56,47,46
"경암동","10세",37,41,45
"경암동","11세",50,50,39
"경암동","12세",45,56,43
"구암동","합계",7185,8618,10469
"구암동","7세",57,45,72
"구암동","8세",55,61,69
"구암동","9세",59,62,87
"구암동","10세",62,59,77
"구암동","11세",60,64,72
"구암동","12세",57,68,80
"개정동","합계",3067,2890,2737
"개정동","7세",15,11,10
"개정동","8세",18,8,12
"개정동","9세",17,13,9
"개정동","10세",17,10,12
"개정동","11세",22,15,10
"개정동","12세",18,12,15
"수송동","합계",53837,52171,53587
"수송동","7세",888,667,572
"수송동","8세",885,782,700
"수송동","9세",833,774,798
"수송동","10세",822,831,801
"수송동","11세",747,859,854
"수송동","12세",763,814,868
"나운1동","합계",12521,13454,13002
"나운1동","7세",63,76,61
"나운1동","8세",78,93,75
"나운1동","9세",100,87,83
"나운1동","10세",75,87,80
"나운1동","11세",83,87,87
"나운1동","12세",101,110,80
"나운2동","합계",23189,21481,20773
"나운2동","7세",236,154,117
"나운2동","8세",237,195,149
"나운2동","9세",265,185,183
"나운2동","10세",262,218,183
"나운2동","11세",269,226,212
"나운2동","12세",275,241,218
"소룡동","합계",19379,20898,20408
"소룡동","7세",140,102,87
"소룡동","8세",155,120,92
"소룡동","9세",187,130,111
"소룡동","10세",182,142,115
"소룡동","11세",160,149,143
"소룡동","12세",150,183,138
"미성동","합계",11833,10806,10847
"미성동","7세",95,39,50
"미성동","8세",103,71,40
"미성동","9세",90,64,72
"미성동","10세",99,69,67
"미성동","11세",111,80,66
"미성동","12세",78,87,84
"나운3동","합계",34986,33686,32839
"나운3동","7세",352,241,178
"나운3동","8세",368,298,227
