번호,도서관명,구분,지역,시군구,설립주체,설립기관명,운영방식,운영기관명,분관내용,개관년도,주소,상세주소,전화번호,팩스,홈페이지,개관시간,휴관일,상위본관명,분류체계,목록형식_국내서,목록형식_국외서,목록규칙_국내서,목록규칙_국외서,저자기호_국내서,저자기호_국외서,도서관코드,도서관부호(실제),이동 및 외부 확장형 도서관_도서관수,이동 및 외부 확장형 도서관_장서수,이동 및 외부 확장형 도서관_이용자수,작은도서관_협력도서관수,작은도서관_협력인력수,작은도서관_협력예산액,작은도서관_협력장서수,작은도서관_협력프로그램수,도서관서비스협력(지원)기관 현황_비고,국내서_총류,국내서_철학,국내서_종교,국내서_사회과학,국내서_순수과학,국내서_기술과학,국내서_예술,국내서_언어,국내서_문학,국내서_역사,국내서_합계,국외서_총류,국외서_철학,국외서_종교,국외서_사회과학,국외서_순수과학,국외서_기술과학,국외서_예술,국외서_언어,국외서_문학,국외서_역사,국외서_합계,도서자료수_비고,지역자료,고서·귀중본,지역자료 및 고서·귀중본_합계,지역자료 및 고서·귀중본_비고,비도서자료_시청각자료,비도서자료_기타,비도서자료_합계,비도서자료수_비고,전자저널_소장형,전자저널_기간구독형,전자저널_합계,전자도서_소장형,전자도서_기간구독형,전자도서_합계,오디오북_소장형,오디오북_기간구독형,오디오북_합계,웹데이터베이스_소장형,웹데이터베이스_기간구독형,웹데이터베이스_합계,기타_소장형,기타_기간구독형,기타_합계,전자자료수_비고,연속간행물_국내,연속간행물_국외,연속간행물_합계,연속간행물_비고,연간증가자료_도서자료_구입,연간증가자료_도서자료_기증,연간증가자료_비도서_구입,연간증가자료_비도서_기증,연간증가자료_전자자료_구입,연간증가자료_전자자료_기증,연간증가자료_연속간행물_구입,연간증가자료_연속간행물_기증,연간제적자료_도서자료,연간제적자료_비도서,연간제적자료_전자자료,연간제적자료_연속간행물,연간증가및제적자료수_비고,면적_도서관 부지 면적,면적_도서관 건물 연면적,면적_도서관 서비스 제공 면적,좌석수_총 좌석수,좌석수_어린이 열람석,좌석수_노인 및 장애인 열람석,설비_이용자용컴퓨터수,설비_무선인터넷설치유무,설비_시스템구축현황,설비_무인자동대출/반납기,설비_모바일도서관서비스유무,시설및설비_비고,도서관장 유무,도서관장_직렬(대구분),도서관장_직렬(소구분),도서관장_직렬(기타),도서관장_직급,도서관장_직급(기타),도서관장_사서자격증,도서관장_비고,정규직_사서직_남,정규직_사서직_여,정규직_사서직_정원,정규직_행정직_남,정규직_행정직_여,정규직_행정직_정원,정규직_전산직_남,정규직_전산직_여,정규직_전산직_정원,정규직_기타_남,정규직_기타_여,정규직_기타_정원,비정규직_사서자격증소지자_남,비정규직_사서자격증소지자_여,비정규직_기타_남,비정규직_기타_여,정규직_현원_합계,비정규직_합계,인원수_합계,직원구성현황_비고,자원봉사자_남,자원봉사자_여,기타 지원인력_남,기타 지원인력_여,지원인력_남_합계,지원인력_여_합계,지원인력_합계,지원인력_비고,1급정사서_남,1급정사서_여,2급정사서_남,2급정사서_여,준사서_남,준사서_여,사서자격증보유유무_비고,사서직_전문교육_교육건수,사서직_전문교육_교육시간,사서직_전문교육_교육참가자수,사서직_일반교육_교육건수,사서직_일반교육_교육시간,사서직_일반교육_교육참가자수,일반직_전문교육_교육건수,일반직_전문교육_교육시간,일반직_전문교육_교육참가자수,일반직_일반교육_교육건수,일반직_일반교육_교육시간,일반직_일반교육_교육참가자수,합계_전문교육_교육건수,합계_전문교육_교육시간,합계_전문교육_교육참가자수,합계_일반교육_교육건수,합계_일반교육_교육시간,합계_일반교육_교육참가자수,정규직원교육현황_비고,2025년도 결산액_인건비_금액(천원),2025년도 결산액_인건비_비고,2025년도 결산액_자료구입비_금액(천원),2025년도 결산액_자료구입비_비고,2025년도 결산액_운영비_금액(천원),2025년도 결산액_운영비_비고,2025년도 결산액_합계,2025년도 결산액_합계_비고,2026년도 예산액_인건비_정규직_금액(천원),2026년도 예산액_인건비_정규직_비고,2026년도 예산액_인건비_비정규직등기타_금액(천원),2026년도 예산액_인건비_비정규직등기타_비고,2026년도 인건비_합계,2026년도 인건비_합계_비고,2026년도 예산액_자료구입비_도서자료구입비_금액(천원),2026년도 예산액_자료구입비_도서자료구입비_비고,2026년도 예산액_자료구입비_비도서구입비_금액(천원),2026년도 예산액_자료구입비_비도서구입비_비고,2026년도 예산액_자료구입비_전자자료구입비_공동_금액(천원),2026년도 예산액_자료구입비_전자자료구입비_공동_비고,2026년도 예산액_자료구입비_전자자료구입비_자체(개별)_금액(천원),2026년도 예산액_자료구입비_전자자료구입비_자체(개별)_비고,2026년도 예산액_자료구입비_연속간행물_금액(천원),2026년도 예산액_자료구입비_연속간행물_비고,2026년도 자료구입비_합계,2026년도 자료구입비_합계_비고,2026년도 예산액_운영비_원문DB구축및정보화관련개발유지비_금액(천원),2026년도 예산액_운영비_원문DB구축및정보화관련개발유지비_비고,2026년도 예산액_운영비_프로그램운영비_금액(천원),2026년도 예산액_운영비_프로그램운영비_비고,2026년도 예산액_운영비_기타사업비총액_금액(천원),2026년도 예산액_운영비_기타사업비총액_비고,2026년도 운영비_합계,2026년도 운영비_합계_비고,2026년도 예산액_합계,2026년도 예산액_합계_비고,연간총개관일수,일주일간평균개관시간,개관일수및개관시간_비고,연령별 회원등록자 수_어린이,연령별 회원등록자 수_청소년,연령별 회원등록자 수_성인,회원등록자수_합계,가족단위회원등록자수,이용자수_도서관방문자수,회원등록자수및이용자수_비고,봉사대상지역,봉사대상자수_어린이,봉사대상자수_청소년,봉사대상자수_성인,봉사대상자수_합계,봉사대상자수_비고,인쇄자료_대출자_어린이,인쇄자료_대출자_청소년,인쇄자료_대출자_성인,인쇄자료_대출자_합계,전자자료_이용자_어린이,전자자료_이용자_청소년,전자자료_이용자_성인,전자자료_이용자_합계,대출이용자수_비고,인쇄자료대출_어린이_총류,인쇄자료대출_어린이_철학,인쇄자료대출_어린이_종교,인쇄자료대출_어린이_사회과학,인쇄자료대출_어린이_순수과학,인쇄자료대출_어린이_기술과학,인쇄자료대출_어린이_예술,인쇄자료대출_어린이_언어,인쇄자료대출_어린이_문학,인쇄자료대출_어린이_역사,인쇄자료대출_어린이_합계,인쇄자료대출_청소년_총류,인쇄자료대출_청소년_철학,인쇄자료대출_청소년_종교,인쇄자료대출_청소년_사회과학,인쇄자료대출_청소년_순수과학,인쇄자료대출_청소년_기술과학,인쇄자료대출_청소년_예술,인쇄자료대출_청소년_언어,인쇄자료대출_청소년_문학,인쇄자료대출_청소년_역사,인쇄자료대출_청소년_합계,인쇄자료대출_성인_총류,인쇄자료대출_성인_철학,인쇄자료대출_성인_종교,인쇄자료대출_성인_사회과학,인쇄자료대출_성인_순수과학,인쇄자료대출_성인_기술과학,인쇄자료대출_성인_예술,인쇄자료대출_성인_언어,인쇄자료대출_성인_문학,인쇄자료대출_성인_역사,인쇄자료대출_성인_합계,전자자료이용_어린이_총류,전자자료이용_어린이_철학,전자자료이용_어린이_종교,전자자료이용_어린이_사회과학,전자자료이용_어린이_순수과학,전자자료이용_어린이_기술과학,전자자료이용_어린이_예술,전자자료이용_어린이_언어,전자자료이용_어린이_문학,전자자료이용_어린이_역사,전자자료이용_어린이_합계,전자자료이용_청소년_총류,전자자료이용_청소년_철학,전자자료이용_청소년_종교,전자자료이용_청소년_사회과학,전자자료이용_청소년_순수과학,전자자료이용_청소년_기술과학,전자자료이용_청소년_예술,전자자료이용_청소년_언어,전자자료이용_청소년_문학,전자자료이용_청소년_역사,전자자료이용_청소년_합계,전자자료이용_성인_총류,전자자료이용_성인_철학,전자자료이용_성인_종교,전자자료이용_성인_사회과학,전자자료이용_성인_순수과학,전자자료이용_성인_기술과학,전자자료이용_성인_예술,전자자료이용_성인_언어,전자자료이용_성인_문학,전자자료이용_성인_역사,전자자료이용_성인_합계,대출이용수_비고,자체 상호대차 협력도서관 수_공공도서관,자체 상호대차 협력도서관 수_작은도서관,상호대차의뢰 및 제공책수_의뢰,상호대차의뢰 및 제공책수_제공,정보서비스의뢰 및 제공건수_의뢰,정보서비스의뢰 및 제공건수_제공,홈페이지접속수,정보서비스및상호협력_비고,오프라인_교육횟수,오프라인_교육시간,오프라인_교육 참가자 수,온라인_교육횟수,온라인_교육시간,온라인_교육 참가자 수,이용자교육_교육횟수_합계,이용자교육_교육시간_합계,이용자교육_참가자수_합계,이용자교육_비고,오프라인_문화_정기강좌_실시횟수,오프라인_문화_정기강좌_참가자수,오프라인_문화_1회성_실시횟수,오프라인_문화_1회성_참가자수,오프라인_도서관및독서관련_정기강좌_실시횟수,오프라인_도서관및독서관련_정기강좌_참가자수,오프라인_도서관및독서관련_1회성_실시횟수,오프라인_도서관및독서관련_1회성_참가자수,온라인_문화_정기강좌_실시횟수,온라인_문화_정기강좌_참가자수,온라인_문화_1회성_실시횟수,온라인_문화_1회성_참가자수,온라인_도서관및독서관련_정기강좌_실시횟수,온라인_도서관및독서관련_정기강좌_참가자수,온라인_도서관및독서관련_1회성_실시횟수,온라인_도서관및독서관련_1회성_참가자수,문화_정기강좌_실시횟수_합계,문화_정기강좌_참가자수_합계,문화_1회성_실시횟수_합계,문화_1회성_참가자수_합계,도서관및독서관련_정기강좌_실시횟수_합계,도서관및독서관련_정기강좌_참가자수_합계,도서관및독서관련_1회성_실시횟수_합계,도서관및독서관련_1회성_참가자수_합계,프로그램_비고,동아리 수_독서,동아리 수_학습,동아리 수_기타,동아리 수_합계,동아리회원 수_독서,동아리회원 수_학습,동아리회원 수_기타,동아리회원 수_합계,동아리_비고,장애인_인쇄용 자료,장애인_비도서 자료,장애인_전자자료,취약계층특수자료수_장애인_합계,노인_인쇄용 자료,노인_비도서 자료,노인_전자자료,취약계층특수자료수_노인_합계,다문화_인쇄용 자료,다문화_비도서 자료,다문화_전자자료,취약계층특수자료수_다문화_합계,취약계층특수자료수_비고,봉사대상자수_장애인,봉사대상자수_노인,봉사대상자수_다문화,봉사대상자수_비고,취약계층서비스이용수_장애인,취약계층서비스이용수_노인,취약계층서비스이용수_다문화,취약계층서비스이용수_합계,취약계층서비스이용수_비고,취약계층관련예산_장애인,취약계층관련예산_노인,취약계층관련예산_다문화,취약계층관련예산_합계,취약계층관련예산_비고,취약계층공간_장애인,취약계층공간_노인,취약계층공간_다문화,취약계층공간_비고,취약계층프로그램_장애인,취약계층프로그램_노인,취약계층프로그램_다문화,취약계층프로그램_비고,어린이실 유무,어린이 서비스 이용수,어린이 자료(인쇄)수,어린이 연간 증가 자료(인쇄)수,어린이서비스_비고
1,더불어 숲,공공(일반),대구,북구,사립,지역문화공간 더불어 숲,직영,지역문화공간 더불어숲,본관,2008,대구광역시 북구 학남로17길 2 (국우동),해일빌딩 3층 더불어 숲 도서관,053-326-0937,,http://www.withwith.net,오전 10시~오후 7시, (국가)공휴일,,KDC,,,,,,,2030111007,127010,0,0,0,0,0,0,0,0,,1577,1199,396,4039,2846,1290,1115,2536,18889,2767,36654,0,0,0,0,0,0,0,0,0,0,0,,230,150,380,,1089,0,1089,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,0,20,,613,0,0,0,0,0,2,0,0,0,0,0,,538.2,321,283.8,70,48,0,2,유,바코드 시스템,0,무,,유(전임),비공무원,,,기타(직접입력),관장,무,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,3,12,0,0,3,12,15,,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17400,,10000,,34840,,62240,,17400,,0,,17400,,10000,,0,,0,,0,,0,,10000,,0,,4000,,30840,,34840,,62240,,245,45,,280,150,2050,2480,,7185,,대구광역시 북구,36407,23166,350281,409854,,800,81,3000,3881,0,0,0,0,,0,0,0,55,99,12,159,141,259,75,800,4,10,0,0,0,12,0,0,52,3,81,60,90,43,219,122,145,77,79,1875,290,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,866,,2,2,20,0,0,0,2,2,20,,4,304,2,20,2,384,2,280,0,0,0,0,0,0,0,0,4,304,2,20,2,384,2,280,,2,1,1,4,12,8,5,25,,0,0,0,0,0,0,0,0,0,0,0,0,,22489,82817,,,118,16,0,134,,0,0,0,0,,미설치,미설치,미설치,,운영,운영,미운영,,유,56,23777,429,
2,제3의시간,공공(일반),서울,종로구,사립,(재)도서문화재단씨앗,직영,,본관,2023,서울특별시 종로구 대학로10길 8 (동숭동),리브랩 3-5층,02-6949-0819,,http://formystories.org/,"전체 수/목/금 13:00~18:00, 토 10:00~18:00","일, 월, 화요일",,,,,,,,,2030111012,111529,0,0,0,0,0,0,0,0,,115,90,8,185,163,153,784,19,2988,112,4617,15,2,1,12,36,53,482,4,113,23,741,,0,0,0,,1053,1187,2240,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,455,0,640,0,0,0,0,0,4,0,0,0,,502.2,750.06,575.66,103,98,0,21,유,바코드 시스템,0,무,,유(전임),비공무원,,,기타(직접입력),5급 상당,무,,1,0,1,1,10,11,0,0,0,0,0,0,0,2,0,3,12,5,17,,0,0,0,0,0,0,0,,0,0,1,1,0,1,,0,0,0,7,150,1,0,0,0,82,1646,11,0,0,0,89,1796,12,,642347,,52404,,117136,,811887,,547557,,17940,,565497,,19200,,26600,,0,,3800,,200,,49800,,8000,,8000,,178300,,194300,,809597,,187,29,수~일요일 개관하였으나 2025.10부터 수~토요일로 운영요일 변경하며 평균 개관시간이 줄어듦.,3176,3965,0,7141,,3577,회원등록자수 누적임을 확인함. 노서관 방문자수는 누적이 아닌 연간임을 확인함(신규 방문자수의 증가로 인한 연간 방문자수 증가),서울특별시 종로구,8422,5861,122765,137048,,0,0,0,0,0,0,0,0,"대출 서비스를 제공하지 않아서 대출 인원 산정 없음., 소장 전자자료가 없어서 산정 없음.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"제3의 시간은 대출 서비스를 운영하고있지 않아서 모든 항목 ""0""처리함.",0,0,0,0,0,0,38571,,2607,434,2607,0,0,0,2607,434,2607,"도서관 이용 교육을 뜻하며, 신규 이용자 대상으로 10분씩 진행함. 교육 참가자수=신규 회원수와 동일함. 횟수(명)*분(라운딩 시간: 10분)/60(분(시간으로 환산)) =434.5시간(소수점 절삭)",0,0,0,0,0,0,112,1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,1496,* 기존 문화프로그램-1회성 프로그램에 해당한 프로그램 -> 도서관 및 독서 관련 프로그램-1회성 프로그램으로 분류/ * 7.5.이용자 교육과 7.6.도서관 프로그램 중복 인원이 있음(프로그램 내용에 이용자 교육이 포함 된 경우가 있기 때문)),0,0,0,0,0,0,0,0,,8,0,0,8,0,0,0,0,0,0,0,0,,5538,30664,,,0,0,0,0,,0,0,0,0,,자료실내 코너,미설치,자료실내 코너,제3의 시간은 어린이 청소년 전용 도서관이므로 노인을 대상으로하지 않음.,미운영,미운영,미운영,,유,2403,1663,156,
3,가람도서관,공공(일반),경기,파주시,지자체,파주시청,위탁,느티나무재단,본관,2014,경기도 파주시 가람로116번길 170 (와동동),(가람도서관),031-949-2552,031-947-0062,https://lib.paju.go.kr/grlib/index.do,"종합자료실 평일(9:00~2200), 주말(9:00~18:00)/ 어린이자료실 하절기 평일(9:00~19:00) 동절기 및 주말(9:00~18:00), 하절기(9:00~19:00)",매주 월요일 및 법정공휴일,,KDC,KORMARC,KORMARC,,KCR4판,Elord 저자기호,Elord 저자기호,2060141162,141544,3,8966,12483,1,1,0,0,4,,2675,3431,690,8947,3779,4305,4568,920,27677,4812,61804,35,2,5,50,54,24,28,27,1234,111,1570,,61,0,61,,11039,0,11039,,0,215,215,16370,184279,200649,2306,618,2924,0,1703,1703,0,1113,1113,,95,5,100,,2376,273,343,1,641,0,7,0,353,12,0,11,,7160,3078,2218,136,60,1,8,유,바코드와 RFID 병행 적용,3,유,도서관등록 제출 서류 기준,유(전임),비공무원,,,기타(직접입력),전문계약직 다급 상당,유,,1,6,7,0,0,0,0,0,0,0,0,0,1,2,1,6,7,10,17,,0,8,0,0,0,8,8,,1,1,1,6,0,1,,72,311,7,72,241,7,0,0,0,0,0,0,72,311,7,72,241,7,,585345,연장개관사업+스마트도서관 포함,86224,스마트도서관 포함,522513,연장개관사업+스마트도서관 포함,1194082,,398378,,220681,연장개관사업+스마트도서관 포함,619059,,60500,스마트도서관 포함,6000,,0,,0,,16998,,83498,,23817,,23800,스마트도서관 포함,443875,스마트도서관 포함,491492,,1194049,,296,70,,667,898,7729,9294,,241976,,경기도 파주시,60963,32774,432268,526005,,3393,1773,26325,31491,0,0,867,867,스마트도서관 포함 / 전자자료 이용자수 산출 불가에 따른 추정값 입력(총15611명/18개소),315,441,292,1071,1369,914,495,262,11930,890,17979,108,312,59,588,375,419,161,188,3504,320,6034,2661,6503,1444,11426,5394,7628,3223,1170,61261,4433,105143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8672,8672,스마트도서관 포함 / 전자자료 도서관별 연령별 주제별 산출불가에 따른 1/n 이용자수 이력(총156111건/18개소),18,3,15568,5348,15962,15962,1882980,,57,61,636,20,20,79,77,81,715,,12,1892,14,552,13,1729,20,949,0,0,0,0,0,0,2,186,12,1892,14,552,13,1729,22,1135,,2,0,5,7,24,0,75,99,,0,0,0,0,513,0,0,513,0,0,0,0,,23558,90515,,,52,4376,260,4688,,24957,0,0,24957,BF인증 자가대출반납기 1대 구입,미설치,자료실내 코너,미설치,자료실내 음성지원컴퓨터 1대,미운영,미운영,미운영,,유,100441,30527,1128,스마트도서관 미포함
4,가양도서관,공공(일반),서울,강서구,지자체,서울특별시 강서구,위탁,학교법인 한국그리스도의 교회학원,본관,2015,서울특별시 강서구 양천로61길 101 (가양동),강서구립가양도서관,02-3665-8797,02-3665-0235,http://lib.gangseo.seoul.kr,"어린이자료실=월~목·토~일 9:00~18:00 / 종합자료실=월~목·토 9:00~22:00, 일 9:00~18:00 / 학습열람실=월~목·토~일 7:00~22:00","매주 금요일, 일요일을 제외한 법정 공휴일",,KDC,KORMARC,KORMARC,KCR4,KCR4,이재철 저자기호 5표,Cutter Sanborn,2060111000,111453,3,1042,6618,4,2,70229,8,10,스마트도서관 포함에 따른 장서수 증가,3384,3924,1246,11560,4167,6024,3335,1705,29681,4770,69796,1,8,3,180,31,7,3,15,756,15,1019,,0,0,0,,1175,0,1175,,0,0,0,26832,179157,205989,457,3756,4213,0,5299,5299,0,0,0,24년도 실적으로 입력되었던 dbpia와 모아진을 모두 웹데이터베이스로 옮김,36,7,43,,4672,456,66,5,1692,0,6,0,1152,0,0,2,,30145,2278.75,1348.42,474,98,8,12,유,바코드와 RFID 병행 적용,5,유,자가대출기 추가설치,유(전임),비공무원,,,기타(직접입력),7급상당,유,,2,5,7,0,0,0,0,0,0,0,0,0,0,6,4,4,7,14,21,,9,25,3,6,12,31,43,,1,0,1,9,0,2,,84,313,7,54,172,7,0,0,0,0,0,0,84,313,7,54,172,7,,728676,순회사서 지원사업 포함,123124,도서+비도서+전자자료+연속간행물,290560,외부 공모사업 포함,1142360,,409457,,322703,순회사서 지원사업 포함,732160,,45000,구비 도서구입비,0,,23000,,0,,6737,,74737,,22765,,56260,외부 확정 공모사업 포함,173828,,252853,,1059750,,296,90,,938,1076,31593,33607,,311606,,서울특별시 강서구,42159,24640,482912,549711,,9306,3898,69429,82633,112,128,1858,2098,,448,349,233,1434,2020,990,329,325,11104,1586,18818,220,254,42,704,627,334,228,70,3803,420,6702,3363,6335,1532,18134,6760,7548,3570,2178,58981,7570,115971,274,10,21,77,31,58,26,185,185,48,915,22,19,2,78,22,45,28,28,133,9,386,741,1591,191,3467,298,1089,338,1063,5380,520,14678,,7,27,7629,23858,29338,29338,1121869,,54,54,702,0,0,0,54,54,702,,15,3863,39,2408,21,4077,51,5534,0,0,0,0,0,0,0,0,15,3863,39,2408,21,4077,51,5534,,7,0,0,7,68,0,0,68,,68,0,0,68,900,0,0,900,0,0,0,0,,27618,112966,,,6643,775,679,8097,,77753,17501,12362,107616,장애인 키오스크 설치,자료실내 코너,자료실내 코너,미설치,,운영,운영,운영,,유,54117,24815,1277,
5,가양도서관,공공(일반),충북,옥천군,지자체,옥천군,직영,,분관,2025,충청북도 옥천군 옥천읍 가화4길 58 ,옥천가양복합문화센터(가양도서관),043-730-3612,043-733-9058,https://www.oc.go.kr/lib,,매주 월요일 및 공휴일,옥천군민도서관,KDC,KORMARC,KORMARC,KCR4,,이재철 저자기호,Cutter-Sanborn Table,2060143038,143142,1,7997,200,8,15,181849,699,8,,1919,2199,768,6665,4170,2828,1780,1295,19069,3549,44242,18,7,0,29,33,46,239,1520,482,25,2399,,159,0,159,,434,0,434,,0,1574,1574,9359,168912,178271,0,5957,5957,0,0,0,0,0,0,교보문고(소장형) 부커스(구독형),49,0,49,,2311,0,0,0,376,0,49,0,0,0,0,0,,8789,2649,1516,150,42,2,6,유,바코드와 RFID 병행 적용,2,유,,유(겸임),공무원,행정직,,5급,,무,,1,3,5,0,2,3,0,0,0,1,1,2,0,0,6,7,8,13,21,정규직 기타 : 시설직 공업직,24,38,9,12,33,50,83,기타: (순회사서+행복드림일자리+청년일자리),0,0,1,3,0,0,,0,0,0,78,207,4,0,0,0,117,500,4,0,0,0,195,707,8,,460130,개관시간 연장  환경정화 정규직(추계) 지원인력(행복드림일자리청년일자리)력,47905,,1265550,,1773585,,264100,,270000,,534100,,38500,가양도서관 및 공립작은도서관 도서구입비,7000,,3500,,0,,9000,,58000,,0,,115720,,260353,,376073,,968173,,97,78,2025년 9월 개관,124,15,250,389,,31887,,충청북도 옥천군,2912,2292,44397,49601,,907,102,2951,3960,40,20,169,229,,127,45,169,705,905,136,129,371,1938,473,4998,8,9,0,27,27,13,72,8,177,20,361,487,439,253,1978,1523,601,806,601,4832,805,12325,24,0,26,89,111,24,21,42,232,63,632,0,0,0,0,0,0,0,0,21,0,21,63,42,21,232,190,63,106,63,570,106,1456,,0,9,0,4,20,20,2504,,10,20,186,0,0,0,10,20,186,,0,0,5,740,13,1320,3,81,0,0,0,0,0,0,0,0,0,0,5,740,13,1320,3,81,,0,0,0,0,0,0,0,0,,140,0,0,140,214,0,0,214,0,0,0,0,,4898,18171,,,90,950,0,1040,,750,300,0,1050,,자료실내 코너,자료실내 코너,미설치,,운영,운영,미운영,,유,12987,22514,1116,
6,가온도서관,공공(일반),서울,중구,지자체,서울 중구청,위탁,중구문화재단,본관,2008,서울특별시 중구 동호로14길 18 (신당동),가온도서관,02-2230-2921,,https://www.junggulib.or.kr,09:00~22:00,"매주 월요일, 법정공휴일",,KDC 제6판,KORMARC,KORMARC,KCR4판,KCR4판,이재철5표,Cutter-sanborn,2060111042,111108,3,3495,1601,2,1,0,0,0,,2038,4469,1403,11727,4785,5230,3146,1387,34901,5551,74637,39,22,12,203,167,37,14,1003,3424,80,5001,,22,0,22,,0,0,0,,0,0,0,174751,0,174751,0,0,0,0,0,0,0,0,0,,26,0,26,,2992,40,0,0,1988,0,1,0,5300,457,0,1,,486,965.95,682.67,121,33,2,2,유,바코드와 RFID 병행 적용,2,유,,유(전임),비공무원,,,기타(직접입력),사서 8급 상당,유,,0,6,8,0,0,0,0,0,0,0,0,0,0,5,0,0,6,5,11,,8,19,0,1,8,20,28,,0,1,0,5,0,4,,75,342,6,70,312,6,0,0,0,0,0,0,75,342,6,70,312,6,,495009,상주작가 인건비 포함,54095,,127314,,676418,,257005,,190326,,447331,,37120,,0,,0,,0,,6120,,43240,,30366,,15500,,120437,,166303,,656874,,298,78,,1271,374,32551,34196,,268619,기기결함(계수기 인식문제)로 별도 계산식으로 산출,서울특별시 중구,7155,3626,107024,117805,,509,246,6734,7489,0,0,380,380,,92,126,147,565,659,343,119,236,5136,614,8037,50,59,18,178,141,116,69,88,1137,286,2142,1236,3606,1014,8522,2847,3329,1914,1460,34403,3847,62178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,318,17,615,67,109,39,53,1452,120,2812,,7,12,10612,23632,0,0,681610,,20,10,439,0,0,0,20,10,439,,0,0,1,206,27,1512,19,2022,0,0,0,0,1,63,0,0,0,0,1,206,28,1575,19,2022,,8,0,1,9,57,0,5,62,,147,0,0,147,742,0,0,742,126,0,0,126,,5094,27157,,,202,2514,0,2716,,4011,2690,0,6701,,자료실내 코너,자료실내 코너,자료실내 코너,,운영,운영,미운영,,유,19766,34547,1295,
7,갈마도서관,공공(일반),대전,서구,지자체,대전광역시 서구,직영,,본관,1994,대전광역시 서구 신갈마로127번길 138 (갈마동),갈마도서관,042-288-4740,042-288-5936,https://www.seogu.go.kr/learning/galmalib/index.do,동절기:08:00~22:00 하절기:07:00~22:00,"매주 월요일, 국경일 및 국가지정 공휴일",,KDC6판,통합KOMARC,통합KOMARC,KCR 4판,KCR4판,동양서저자기호표,cutter sanborn Table,2060125007,125004,1,500,2837,3,1,0,0,0,,8401,9926,4444,31127,11712,13027,6897,5437,84779,13875,189625,260,12,66,670,1067,113,91,2479,10049,380,15187,,51,0,51,,7488,0,7488,,0,0,0,4102,0,4102,387,0,387,0,0,0,0,4,4,,54,0,54,,6194,410,0,0,805,0,54,0,8000,0,0,53,,1488,2706,1281,515,66,8,26,유,RFID 시스템,3,유,,유(전임),공무원,사서직,,6급,,유,,1,2,4,1,0,1,1,1,1,2,0,4,0,2,2,3,8,7,15,,77,47,4,5,81,52,133,,0,1,1,3,0,0,,8,16,4,81,214,4,0,0,0,146,456,4,8,16,4,227,670,8,,901898,,127149,,721711,,1750758,,544305,,434974,,979279,,100800,,1890,,0,,0,,6840,,109530,,17359,,104420,,150340,,272119,,1360928,,298,91,,551,953,11022,12526,,346073,,대전광역시 서구,45815,27973,389563,463351,,418,723,8356,9497,241,46,602,889,,1642,652,805,2947,6651,1770,679,3460,27083,3397,49086,247,292,92,764,2523,1926,181,418,4927,531,11901,4716,5767,2233,14782,12145,9797,2917,6170,70121,7803,136451,4,6,2,16,50,38,4,8,108,5,241,1,2,1,7,10,5,1,2,15,2,46,135,165,125,805,315,645,135,195,3237,225,5982,,4,0,533,1650,32132,32132,137738,,5,10,60,0,0,0,5,10,60,,159,2432,5,139,191,2880,22,5991,0,0,0,0,0,0,0,0,159,2432,5,139,191,2880,22,5991,,0,0,2,2,0,0,30,30,,0,0,0,0,1133,0,0,1133,0,0,0,0,,20310,80949,,,1129,17592,207,18928,,0,3738,1200,4938,,자료실내 코너,자료실내 코너,미설치,,미운영,운영,운영,,유,61388,86869,3321,
